Sentence,Label
Could you list the subtasks that are currently in the in-process status?,In-Progress
What subtasks are currently being worked on?,In-Progress
Which subtasks are currently in progress?,In-Progress
What tasks are currently in the process of being completed?,In-Progress
Can you provide an update on the subtasks that are currently in the in-process status?,In-Progress
What work is currently underway?,In-Progress
Which tasks are currently being worked on?,In-Progress
What subtasks are currently being tackled?,In-Progress
what are the subtask is in the completed status?,Completed
What subtasks have been completed?,Completed
Which subtasks are marked as completed?,Completed
What subtasks have reached the completed status?,Completed
Can you list the subtasks that are in the completed status?,Completed
Which subtasks have been finished?,Completed
What subtasks have been marked as done?,Completed
What is the status of the subtasks?,Completed
Which subtasks have been completed successfully?,Completed
Which subtasks have been accomplished?,Completed
What subtasks are now considered complete?,Completed
what is the subtask description?,description
Could you provide a description of the subtask?,description
What does the subtask entail?,description
How would you describe the subtask?,description
Can you explain what the subtask involves?,description
What is the description of the subtask?,description
Could you elaborate on the subtasks description?,description
Can you provide more details about the subtask?,description
What are the specifics of the subtask?,description
How is the subtask described?,description
Can you describe the subtask in more detail?,description
what is the subtask title?,title
What is the title of the subtask?,title
Can you tell me the subtasks title?,title
What do you call the subtask?,title
How is the subtask titled?,title
What is the name of the subtask?,title
Could you provide the title of the subtask?,title
Whats the title of the subtask?,title
Whats the subtasks title?,title
Could you specify the title of the subtask?,title
How is the subtask officially titled?,title
which are the subtask contains feature tag?,Feature
Which subtasks involve the use of feature tags?,Feature
In what subtasks are feature tags utilized?,Feature
Which tasks include the feature tag as a component?,Feature
What subtasks incorporate the feature tag?,Feature
Which subtasks relate to the feature tag?,Feature
What are the subtasks that feature the feature tag?,Feature
Which tasks require the use of feature tags?,Feature
What subtasks specifically address feature tagging?,Feature
Which subtasks involve the use of feature attributes?,Feature
In what ways are feature tags utilized in subtasks?,Feature
which are the subtask contains refactor tag?,Refactor
Which subtasks have the refactor tag?,Refactor
What subtasks are tagged with refactor?,Refactor
List the subtasks containing the refactor tag.,Refactor
Which subtasks need refactoring?,Refactor
Identify the subtasks marked for refactoring.,Refactor
Which subtasks require code refactoring?,Refactor
What are the subtasks that need code improvement (refactor)?,Refactor
Which subtasks have been tagged for refactoring?,Refactor
What subtasks are labeled with the refactor tag?,Refactor
List subtasks that have been marked for refactoring.,Refactor
which are the subtask contains release tag?,Release
What subtasks are tagged with release?,Release
Which subtasks have the release tag assigned to them?,Release
What are the subtasks that include the release tag?,Release
Which subtasks are marked with the release tag?,Release
What subtasks have been tagged with release?,Release
Which subtasks contain the tag release?,Release
What subtasks are labeled with the release tag?,Release
Which subtasks are associated with the release tag?,Release
What subtasks have the release tag attached?,Release
Which subtasks are categorized under the release tag?,Release
when the subtask is created?,created_at
When was the subtask created?,created_at
At what point was the subtask created?,created_at
What is the creation time of the subtask?,created_at
Could you tell me when the subtask was created?,created_at
Do you know the exact moment when the subtask was created?,created_at
When did the subtask come into existence?,created_at
What was the time of creation for the subtask?,created_at
When was the subtask initiated?,created_at
At what time was the subtask generated?,created_at
When did the subtask start?,created_at
when the subtask is assigned?,assigned_by
When will the subtask be assigned?,assigned_by
At what time is the subtask assigned?,assigned_by
When is the assignment of the subtask scheduled?,assigned_by
When can we expect the subtask to be assigned?,assigned_by
What is the timeline for assigning the subtask?,assigned_by
When does the subtask assignment take place?,assigned_by
At what point is the subtask typically assigned?,assigned_by
When should we anticipate the subtask being assigned?,assigned_by
What is the expected timing for the subtask assignment?,assigned_by
When do we receive the assignment for the subtask?,assigned_by
what is the subtask due date of the project?,due date
When is the deadline for the subtask in the project?,due date
What is the subtasks deadline in the project?,due date
By when should the subtask be completed in the project?,due date
What is the due date for the subtask in the project?,due date
When is the subtask supposed to be finished in the project?,due date
What is the deadline for completing the subtask in the project?,due date
By what date should the subtask be done in the project?,due date
When should the subtask be completed by in the project?,due date
What is the timeframe for completing the subtask in the project?,due date
What is the target date for finishing the subtask in the project?,due date
who assigned this subtask in the task?,assigned_by
By whom was this subtask assigned in the task?,assigned_by
Who is responsible for assigning this subtask in the task?,assigned_by
Who gave this subtask in the task?,assigned_by
Who is the person who assigned this subtask in the task?,assigned_by
Who assigned this particular subtask in the task?,assigned_by
Who allocated this subtask in the task?,assigned_by
Who designated this subtask in the task?,assigned_by
Who appointed this subtask in the task?,assigned_by
Who nominated this subtask in the task?,assigned_by
Who selected this subtask in the task?,assigned_by
how many members are working in the subtask?,assigned_to
What is the total number of individuals currently assigned to the subtask?,assigned_to
Could you provide the count of members actively engaged in the subtask?,assigned_to
How many team members are currently working on the subtask?,assigned_to
What is the headcount for the subtask team?,assigned_to
Could you tell me the number of participants involved in the subtask?,assigned_to
What is the total manpower dedicated to the subtask?,assigned_to
How many people are part of the subtask team?,assigned_to
What is the current membership count for the subtask?,assigned_to
Could you provide the tally of members contributing to the subtask?,assigned_to
How large is the subtask team in terms of personnel?,assigned_to
